districtid,weekid,dose1,dose2
AR_Kra Daadi,16,158,203
AR_Kra Daadi,17,77,32
AR_Kra Daadi,18,548,1
AR_Kra Daadi,19,374,9
AR_Kra Daadi,20,201,1
AR_Kra Daadi,21,184,0
AR_Kra Daadi,22,313,3
AR_Kra Daadi,23,381,10
AR_Kra Daadi,24,915,27
AR_Kra Daadi,25,312,96
AR_Kra Daadi,26,63,193
AR_Kra Daadi,27,221,230
AR_Kra Daadi,28,467,154
AR_Kra Daadi,29,4,73
AR_Kra Daadi,30,24,227
AR_Kurung Kumey,1,285,0
AR_Kurung Kumey,2,105,0
AR_Kurung Kumey,3,58,0
AR_Kurung Kumey,4,19,0
AR_Kurung Kumey,5,1,0
AR_Kurung Kumey,6,70,166
AR_Kurung Kumey,7,78,62
AR_Kurung Kumey,8,161,48
AR_Kurung Kumey,9,503,74
AR_Kurung Kumey,10,752,19
AR_Kurung Kumey,11,375,27
AR_Kurung Kumey,12,190,20
AR_Kurung Kumey,13,276,147
AR_Kurung Kumey,14,279,217
AR_Kurung Kumey,15,233,457
AR_Kurung Kumey,16,206,456
AR_Kurung Kumey,17,158,244
AR_Kurung Kumey,18,388,4
AR_Kurung Kumey,19,397,1
AR_Kurung Kumey,20,148,0
AR_Kurung Kumey,21,48,7
AR_Kurung Kumey,22,75,0
AR_Kurung Kumey,23,299,12
AR_Kurung Kumey,24,981,139
AR_Kurung Kumey,25,766,115
AR_Kurung Kumey,26,356,184
AR_Kurung Kumey,27,360,142
AR_Kurung Kumey,28,479,139
AR_Kurung Kumey,29,470,112
AR_Kurung Kumey,30,58,55
AR_Lepa Rada,1,15,0
AR_Lepa Rada,2,155,0
AR_Lepa Rada,3,186,0
AR_Lepa Rada,4,246,0
AR_Lepa Rada,5,397,166
AR_Lepa Rada,6,141,73
AR_Lepa Rada,7,324,166
AR_Lepa Rada,8,208,145
AR_Lepa Rada,9,174,300
AR_Lepa Rada,10,219,92
AR_Lepa Rada,11,72,34
AR_Lepa Rada,12,520,172
AR_Lepa Rada,13,1205,101
AR_Lepa Rada,14,472,231
AR_Lepa Rada,15,222,138
AR_Lepa Rada,16,210,642
AR_Lepa Rada,17,127,253
AR_Lepa Rada,18,440,1
AR_Lepa Rada,19,57,0
AR_Lepa Rada,20,279,0
AR_Lepa Rada,21,698,6
AR_Lepa Rada,22,586,10
AR_Lepa Rada,23,2257,8
AR_Lepa Rada,24,1181,14
AR_Lepa Rada,25,1011,861
AR_Lepa Rada,26,698,535
AR_Lepa Rada,27,324,332
AR_Lepa Rada,28,260,210
AR_Lepa Rada,29,200,125
AR_Lepa Rada,30,72,344
AR_Lohit,1,96,0
AR_Lohit,2,200,0
AR_Lohit,3,94,0
AR_Lohit,4,144,0
AR_Lohit,5,12,77
AR_Lohit,6,186,171
AR_Lohit,7,881,41
AR_Lohit,8,275,92
AR_Lohit,9,330,50
AR_Lohit,10,195,50
AR_Lohit,11,135,190
AR_Lohit,12,623,237
AR_Lohit,13,1039,199
AR_Lohit,14,964,209
AR_Lohit,15,1132,203
AR_Lohit,16,503,266
AR_Lohit,17,338,211
AR_Lohit,18,998,4
AR_Lohit,19,176,8
AR_Lohit,20,829,9
AR_Lohit,21,1669,18
AR_Lohit,22,1698,12
AR_Lohit,23,3437,49
AR_Lohit,24,3419,326
AR_Lohit,25,3007,816
AR_Lohit,26,1994,972
AR_Lohit,27,1305,946
AR_Lohit,28,977,442
AR_Lohit,29,781,405
AR_Lohit,30,449,707
AR_Longding,1,61,0
AR_Longding,2,17,0
AR_Longding,3,81,0
AR_Longding,4,233,61
AR_Longding,5,343,6
AR_Longding,6,228,53
AR_Longding,7,319,8
AR_Longding,8,271,120
AR_Longding,9,369,183
AR_Longding,10,273,114
AR_Longding,11,-134,59
AR_Longding,12,216,243
AR_Longding,13,181,120
AR_Longding,14,519,208
AR_Longding,15,564,130
AR_Longding,16,413,156
AR_Longding,17,222,91
AR_Longding,18,628,79
AR_Longding,19,311,29
AR_Longding,20,263,4
AR_Longding,21,1791,17
AR_Longding,22,1673,41
AR_Longding,23,1027,22
AR_Longding,24,1561,18
AR_Longding,25,2802,94
AR_Longding,26,1621,337
AR_Longding,27,335,298
AR_Longding,28,342,347
AR_Longding,29,537,176
AR_Longding,30,898,251
AR_Lower Dibang Valley,1,33,0
AR_Lower Dibang Valley,2,46,0
AR_Lower Dibang Valley,3,86,0
AR_Lower Dibang Valley,4,60,0
AR_Lower Dibang Valley,5,146,86
AR_Lower Dibang Valley,6,351,41
AR_Lower Dibang Valley,7,261,59
AR_Lower Dibang Valley,8,490,92
AR_Lower Dibang Valley,9,299,40
AR_Lower Dibang Valley,10,270,189
AR_Lower Dibang Valley,11,633,195
AR_Lower Dibang Valley,12,1059,367
AR_Lower Dibang Valley,13,1973,305
AR_Lower Dibang Valley,14,1710,267
AR_Lower Dibang Valley,15,922,270
AR_Lower Dibang Valley,16,335,401
AR_Lower Dibang Valley,17,249,242
AR_Lower Dibang Valley,18,751,5
