districtid,vaccineratio
HR_Nuh,10.234578089539921
KL_Kozhikode,10.234657809197321
GJ_Mahisagar,10.280826577470378
MH_Chandrapur,10.302372704838234
GJ_Vadodara,10.320472469761569
TG_Medak,10.323656658302328
UP_Bahraich,10.336684872911324
HR_Rewari,10.347894163115647
KL_Palakkad,10.351062248444933
CT_Gaurela Pendra Marwahi,10.354685554171855
TN_Pudukkottai,10.361869466749022
TN_Kallakurichi,10.370269215762779
MP_Dewas,10.374037220070344
KA_Dharwad,10.381224579531715
MH_Mumbai,10.402567547745475
MP_Shivpuri,10.433434538596007
CT_Balod,10.48567719989258
GJ_Bhavnagar,10.502515637748164
MP_Balaghat,10.545588853658813
UP_Etawah,10.591409239283166
JH_Garhwa,10.616815056914234
KA_Belagavi,10.631695014173754
MP_Harda,10.644448079387148
GJ_Bhavnagar,10.653204935967922
TN_Pudukkottai,10.753051899338471
MH_Pune,10.775423039375204
UP_Deoria,10.78487319349941
RJ_Dausa,10.802287188958747
AS_Lakhimpur,10.846981307220473
UP_Hapur,10.849632312589177
UP_Auraiya,10.854349702909959
TG_Jagtial,10.857541617622331
MP_Vidisha,10.859143272863188
WB_South 24 Parganas,10.884858718654401
UP_Budaun,10.919486469063328
UP_Hardoi,10.953074433656958
TG_Narayanpet,10.962005200809015
UP_Kanpur Nagar,10.98239951071999
AS_Chirang,11.054286561851082
GJ_Surat,11.081678260393273
UP_Mainpuri,11.095644784363714
CT_Balrampur,11.107191180155349
TN_Virudhunagar,11.129769663200836
BR_Bhagalpur,11.144137380495314
MP_Seoni,11.178221728582702
CT_Koriya,11.183099985158067
UP_Rae Bareli,11.199987994117118
CT_Surguja,11.247538337368846
AS_Kamrup,11.25168172690763
UP_Prayagraj,11.32343250148992
MP_Morena,11.34531293195668
GJ_Banaskantha,11.348052644884355
KL_Kannur,11.358896666419861
KA_Shivamogga,11.362656052945193
MP_Dindori,11.406301778415994
PB_Gurdaspur,11.469303897145148
MP_Mandsaur,11.481593029035936
CT_Kondagaon,11.484897864168072
CT_Bilaspur,11.532955311026274
TN_Viluppuram,11.550183754888666
GJ_Vadodara,11.560352653151046
JK_Baramulla,11.561759016299247
RJ_Banswara,11.56734684380744
AS_Biswanath,11.571023040458604
TG_Mancherial,11.585524054982818
MP_Mandla,11.759039791380475
TN_Ramanathapuram,11.811644329154056
KL_Kottayam,11.8320472435396
TG_Peddapalli,11.869189225009112
TN_Dindigul,11.882021167180916
UP_Sant Kabir Nagar,11.891118279023697
MP_Jhabua,11.90026077371831
UP_Mahoba,12.054781655971201
UP_Kaushambi,12.055781441461512
TG_Adilabad,12.092058543344592
UP_Shahjahanpur,12.170062111801242
AS_Dibrugarh,12.217562430115542
RJ_Dholpur,12.228480300879408
MP_Khargone,12.254638869410432
TG_Suryapet,12.279829545454545
MH_Aurangabad,12.307069648756665
MP_Guna,12.323413240139063
MP_Narsinghpur,12.36403791130186
TG_Nirmal,12.386289606159313
GJ_Ahmedabad,12.45158365381609
UP_Saharanpur,12.502136287211947
MH_Palghar,12.535494050358293
TG_Warangal Rural,12.545208792772284
AS_Sivasagar,12.551296382126012
MP_Katni,12.554213644181157
MH_Sangli,12.622080973843369
KA_Tumakuru,12.623516572282997
MP_Shajapur,12.63854428640869
UT_Nainital,12.678107411072002
RJ_Sirohi,12.796536606751426
BR_Siwan,12.81737250804188
MP_Dhar,12.841769938037178
UP_Barabanki,12.857552969869417
AS_Hailakandi,12.869270982526496
GJ_Gandhinagar,12.96796229359405
CT_Korba,12.96934264247578
TG_Jangaon,12.970203551320918
KA_Uttara Kannada,13.15629702591042
TR_West Tripura,13.183679715509955
MP_Neemuch,13.193245214009584
CT_Gariaband,13.193592677345539
MP_Damoh,13.201643937978703
TG_Jogulamba Gadwal,13.21943773056863
UP_Baghpat,13.26917216861351
BR_Buxar,13.396758759791735
MP_Alirajpur,13.45228048123541
GJ_Sabarkantha,13.4593445622343
GJ_Rajkot,13.516967182036483
AS_South Salmara Mankachar,13.673477315102549
MH_Nagpur,13.72449282196629
GJ_Dahod,13.730653104925054
JH_Chatra,13.737280651230657
PB_Tarn Taran,13.759140474663246
RJ_Bhilwara,13.814650843028074
AS_Jorhat,13.834171573438011
TG_Rajanna Sircilla,13.99550774323206
AS_Baksa,14.006512223764279
PB_Ferozepur,14.060658578856152
UT_Haridwar,14.0750584623626
RJ_Rajsamand,14.100726495726496
AS_Karimganj,14.123933026920552
GJ_Tapi,14.292174168873197
AS_Majuli,14.305297593921486
AS_Nagaon,14.3262733314826
MP_Sidhi,14.461630871106683
MP_Rewa,14.574135219181866
UP_Jalaun,14.652054863980934
AS_Morigaon,14.704324494949494
MH_Kolhapur,14.771885816513048
UP_Kannauj,15.341041876969197
TG_Nagarkurnool,15.556979258428766
UP_Kanpur Dehat,15.626180987151974
MP_Barwani,15.794342085446056
UP_Chandauli,15.908904975914314
GJ_Surat,16.072121250463184
AS_West Karbi Anglong,16.250497347480106
AS_Darrang,16.338247855312513
HR_Hisar,16.376393570132226
UP_Basti,16.46085768915597
MP_Panna,16.518772998143866
RJ_Dungarpur,16.607480079222515
JK_Anantnag,16.642972486180984
MP_Agar Malwa,16.746549771383027
UP_Muzaffarnagar,16.99693305601579
RJ_Chittorgarh,16.998900945535745
RJ_Jhalawar,17.26481551509913
BR_Muzaffarpur,17.544932789608822
RJ_Churu,17.57974306964165
UT_Chamoli,17.819969663685338
MP_Satna,17.836082310901443
UT_Champawat,17.874625899862494
TG_Wanaparthy,17.999270179535834
MP_Bhind,18.15690276927264
PB_Moga,18.24301435164055
UT_Udham Singh Nagar,18.45160300188769
RJ_Pali,18.572434133511713
TG_Kamareddy,18.691010957409887
RJ_Baran,18.698773138183384
GJ_Ahmedabad,19.155131988605547
AS_Bongaigaon,19.884357302622185
RJ_Karauli,19.957660309740177
CT_Mahasamund,20.003220823610608
GJ_Junagadh,20.25891963599972
UT_Rudraprayag,20.296772935556206
MH_Solapur,20.70731407120219
UT_Bageshwar,20.83749001508831
AS_Kokrajhar,20.843563512361467
GJ_Jamnagar,20.933025253840146
MP_Shahdol,20.972902736006073
RJ_Pratapgarh,21.29213944461033
UT_Uttarkashi,21.38975155279503
AS_Charaideo,21.466098286817342
BR_Vaishali,21.637587652365408
MP_Umaria,21.91981254881541
MP_Singrauli,22.173745327288636
UT_Pauri Garhwal,23.245440872344425
GJ_Rajkot,23.48277858797289
AS_Nalbari,24.045595422577186
UT_Tehri Garhwal,24.58564737370358
AS_Goalpara,24.77943393066488
TG_Nizamabad,25.483629370983248
RJ_Bharatpur,26.027321294359016
JK_Kupwara,26.759680894427298
GA_North Goa,27.243845779159955
RJ_Jalore,27.785334534150664
BR_Supaul,29.077063502412308
CT_Sukma,30.788343558282207
AS_Tinsukia,32.710362776863015
AS_Dhubri,34.02445269491742
CT_Mungeli,36.45336673051422
AS_Udalguri,36.684322938914995
BR_Rohtas,37.639303960358006
BR_Aurangabad,38.1304752116674
BR_Jehanabad,39.30484027105518
TG_Nalgonda,39.46283694211224
BR_Nawada,47.25768638220912
JK_Rajouri,49.77140622963639
BR_Nalanda,50.95048174911988
BR_Samastipur,61.411573221398896
TG_Vikarabad,66.98527746319365
JK_Punch,71.01343445287107
JK_Samba,135.8085308056872
BR_Bhojpur,186.6330313014827
GJ_Dang,198.14705882352942
CH_Chandigarh,227.01614881439085
HP_Chamba,292.086014445174
GA_South Goa,378.73825809393526
PY_Yanam,457.3783783783784
TR_Sipahijala,755.3808695652174
HP_Kangra,806.4607740585774
OR_Sundargarh,3856.405303030303
HP_Una,5706.363636363636
BR_Araria,8608.54
DN_Dadra and Nagar Haveli,9085.021276595744
TR_Gomati,10500.14705882353
OR_Kendujhar,34726.30434782609
JK_Pulwama,36096.0
BR_Jamui,96895.33333333333
BR_Munger,565092.0
OR_Koraput,773486.0
HP_Mandi,inf
HP_Sirmaur,inf
HP_Solan,inf
AR_West Siang,inf
AR_West Kameng,inf
HP_Lahaul and Spiti,inf
HP_Shimla,inf
SK_South Sikkim,inf
HP_Kinnaur,inf
ML_East Garo Hills,inf
MN_Ukhrul,inf
MN_Thoubal,inf
MN_Tengnoupal,inf
MN_Tamenglong,inf
MN_Senapati,inf
MN_Pherzawl,inf
MN_Noney,inf
MN_Kangpokpi,inf
MN_Kamjong,inf
MN_Kakching,inf
MN_Jiribam,inf
MN_Imphal West,inf
MN_Imphal East,inf
MN_Churachandpur,inf
MN_Chandel,inf
JK_Bandipora,inf
HP_Bilaspur,inf
HP_Hamirpur,inf
HP_Kullu,inf
MN_Bishnupur,inf
LA_Leh,inf
AR_Upper Siang,inf
